NUM_SOLICITUD,SUCURSAL,STATUS_SOLICITUD,PUNTO_DECISION,APROBACION_TC,TIPO_CTE,LINEA_CREDITO_FINAL,CUENTA_ASIGNADA,MESES_VENCIDOS,SALDO_CUENTA,CAPACIDAD_TC,INGRESO_INFERIDO,COMPROBANTE_INGRESOS,SEGMENTO_CLIENTE,CLIENTE_CDE,SUMA_LINEAS_REVOLVENTES,NIVEL_RIESGO,CAPACIDAD_PAGO_TOTAL,SOLICITUDES_RECHAZADAS,SCORE_CLIENTE,SCORE_COMPORTAMIENTO,PEOR_MOP_TARJETAS,SUMA_SALDOS_TARJETAS,SUMA_PAGO_MIN_TARJETAS,PEOR_HISTORIA_CREDITO,SUMA_SALDOS_TOTAL,NUM_CREDITOS,EDAD,TIPO_VIVIENDA,ESCOLARIDAD
2.01E+16,345,Aprobada,CN0,Aprobado,BUENO,1999,9.98E+14,0,"1,819",9%,36969,PROPIEDAD ACTIVO FIJO,Alto B,CLIENTE_BANCO,0,Bajo,91%,0,225,719,0,0,0,0,0,0,40,Propia,Preparatoria
2.01E+16,14013,Aprobada,CN0,Aprobado,REGULAR,14100,9.98E+14,0,"2,256",84%,34208,RECIBOS DE NOMINA,Medio A,NO_CLIENTE,0,Mínimo,16%,0,226,794,0,0,0,0,0,0,40,Renta,Posgrado
2.01E+16,291,Aprobada,CN0,Aprobado,REGULAR,1999,9.98E+14,1,500,75%,32046,RECIBOS DE NOMINA,Medio A,NO_CLIENTE,0,Mínimo,25%,0,228,795,0,0,0,0,0,0,40,Propia,Posgrado
2.01E+16,4363,Aprobada,CN0,Aprobado,BUENO,9899,9.98E+14,0,"8,711",12%,25344,RECIBOS DE NOMINA,Medio A,CLIENTE_BANCO,37700,Bajo,88%,0,229,716,1,26268,1490,0,0,0,40,Familiares,Licenciatura
2.01E+16,4228,Aprobada,CN0,Aprobado,BUENO,39999,9.98E+14,2,"24,399",39%,35004,RECIBOS DE NOMINA,Alto B,CLIENTE_BANCO,0,Bajo,61%,0,231,739,0,0,0,0,62136,0,40,Hipoteca,Posgrado
2.01E+16,11703,Aprobada,CN0,Aprobado,REGULAR,50000,9.98E+14,1,"17,500",65%,31252,RECIBOS DE NOMINA,Medio A,CLIENTE_BANCO,50000,Bajo,35%,0,232,744,0,237,0,0,68040,0,40,Familiares,Licenciatura
2.01E+16,24026,Aprobada,CN0,Aprobado,BUENO,11799,9.98E+14,1,"6,961",41%,27406,PROPIEDAD ACTIVO FIJO,Alto B,NO_CLIENTE,0,Mínimo,59%,0,233,761,0,0,0,0,0,0,40,Hipoteca,Licenciatura
2.01E+16,302,Aprobada,CN0,Aprobado,BUENO,9899,9.98E+14,2,"9,107",8%,36693,PROPIEDAD ACTIVO FIJO,Alto A,CLIENTE_BANCO,0,Bajo,92%,0,234,708,0,0,0,0,0,0,40,Hipoteca,Licenciatura
2.01E+16,4376,Aprobada,CN0,Aprobado,REGULAR,21700,9.98E+14,0,"5,208",76%,34474,RECIBOS DE NOMINA,Medio A,CLIENTE_BANCO,0,Mínimo,24%,0,236,786,0,0,0,0,14962,0,40,Familiares,Preparatoria
2.01E+16,683,Aprobada,CN0,Aprobado,BUENO,46999,9.98E+14,0,"20,210",57%,32231,PROPIEDAD ACTIVO FIJO,Alto A,NO_CLIENTE,0,Mínimo,43%,0,237,767,0,0,0,0,0,0,40,Propia,Licenciatura
2.01E+16,123,Aprobada,CN0,Aprobado,BUENO,1999,9.98E+14,1,"2,079",-4%,25394,RECIBOS DE NOMINA,Alto A,CLIENTE_BANCO,0,Bajo,104%,0,238,716,0,0,0,0,0,0,40,Hipoteca,Licenciatura
2.01E+16,678,Aprobada,CN0,Aprobado,BUENO,155002,9.98E+14,2,"97,651",37%,35109,RECIBOS DE NOMINA,Alto A,CLIENTE_BANCO,30000,Bajo,63%,0,238,737,0,0,0,0,0,0,40,Familiares,Posgrado
2.01E+16,6557,Aprobada,CN0,Aprobado,REGULAR,24900,9.98E+14,2,"27,888",-12%,31284,RECIBOS DE NOMINA,Medio B,CLIENTE_BANCO,5000,Medio ,112%,0,242,688,0,0,0,0,0,0,40,Familiares,Licenciatura
2.01E+16,4073,Aprobada,CN0,Aprobado,BUENO,9899,9.98E+14,0,"6,038",39%,27461,PROPIEDAD ACTIVO FIJO,Alto A,CLIENTE_BANCO,17300,Bajo,61%,0,248,744,0,793,0,0,0,0,40,Renta,Preparatoria
2.01E+16,303,Aprobada,CN0,Aprobado,REGULAR,49999,9.98E+14,0,"15,500",69%,36803,PROPIEDAD ACTIVO FIJO,Alto B,CLIENTE_BANCO,50000,Mínimo,31%,0,255,779,0,0,0,0,107673,0,40,Propia,Preparatoria
2.01E+16,8213,Aprobada,CN0,Aprobado,BUENO,49999,9.98E+14,2,"38,999",22%,34672,RECIBOS DE NOMINA,Alto A,CLIENTE_BANCO,68000,Mínimo,78%,0,258,756,0,0,0,0,0,0,40,Renta,Posgrado
2.01E+16,995,Aprobada,CN0,Aprobado,BUENO,49999,9.98E+14,2,"55,999",-12%,32449,PROPIEDAD ACTIVO FIJO,Medio A,CLIENTE_BANCO,6800,Bajo,112%,0,259,736,0,0,0,0,0,0,40,Hipoteca,Licenciatura
2.01E+16,4333,Rechazada,PS1,Rechazado,MALO,0,,,,,25230,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,4,89,0,0,14182,0,0,62328,0,41,Familiares,Secundaria
2.01E+16,8166,Rechazada,PS1,Rechazado,MALO,0,,,,,35310,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,3000,Alto,0%,4,89,0,1,1670,250,0,0,0,41,Renta,Posgrado
2.01E+16,7920,Rechazada,PS1,Rechazado,MALO,0,,,,,31495,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,5,89,0,0,0,0,0,0,0,41,Propia,Licenciatura
2.01E+16,625,Rechazada,PS1,Rechazado,MALO,0,,,,,27283,PAGOS PROV SEMESTRALES PF,#N/A,NO_CLIENTE,0,Alto,0%,4,89,0,0,0,0,0,0,0,41,Hipoteca,Posgrado
2.01E+16,772,Rechazada,PS1,Rechazado,MALO,0,,,,,37015,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,5,89,0,0,0,0,0,0,0,41,Hipoteca,Preparatoria
2.01E+16,586,Rechazada,PS1,Rechazado,MALO,0,,,,,34742,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,4,89,0,0,0,0,0,0,0,41,Hipoteca,Posgrado
2.01E+16,9180,En_proceso,CN0,Rechazado,MALO,0,,,,,32086,INVERSIONES,Alto C,NO_CLIENTE,0,Alto,0%,5,89,0,0,0,0,0,0,0,41,Propia,Licenciatura
2.01E+16,868,Rechazada,PS1,Rechazado,MALO,0,,,,,25375,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,2,90,0,0,0,0,0,0,0,41,Renta,Preparatoria
2.01E+16,997,Rechazada,PS1,Rechazado,MALO,0,,,,,35550,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,1,90,0,0,0,0,0,0,0,41,Hipoteca,Preparatoria
2.01E+16,9171,Rechazada,PS1,Rechazado,MALO,0,,,,,31292,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,3,90,0,0,0,0,0,0,0,41,Familiares,Posgrado
2.01E+16,4080,Rechazada,PS1,Rechazado,MALO,0,,,,,27440,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,2,90,0,1,637,637,0,31646,0,41,Renta,Preparatoria
2.01E+16,4349,Rechazada,PS1,Rechazado,MALO,0,,,,,37265,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,3,90,0,0,0,0,0,0,0,41,Renta,Licenciatura
2.01E+16,7796,Rechazada,PS1,Rechazado,MALO,0,,,,,34517,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,3,90,0,0,0,0,0,0,0,41,Renta,Preparatoria
2.01E+16,7591,Rechazada,PS1,Rechazado,MALO,0,,,,,32271,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,3,91,0,0,0,0,0,0,0,41,Familiares,Posgrado
2.01E+16,131,Rechazada,PS1,Rechazado,MALO,0,,,,,25547,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,3,91,0,0,0,0,0,0,0,41,Propia,Licenciatura
2.01E+16,4669,Rechazada,PS1,Rechazado,MALO,0,,,,,35320,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,5,91,0,0,0,0,0,0,0,41,Hipoteca,Preparatoria
2.01E+16,146,Rechazada,PS1,Rechazado,MALO,0,,,,,31472,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,3,92,0,0,0,0,0,0,0,41,Familiares,Licenciatura
2.01E+16,4415,Rechazada,PS1,Rechazado,MALO,0,,,,,27626,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,3,92,0,0,2102,0,0,0,0,41,Hipoteca,Licenciatura
2.01E+16,4271,Rechazada,PS1,Rechazado,MALO,0,,,,,37025,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,1,92,0,0,0,0,0,0,0,41,Familiares,Licenciatura
2.01E+16,368,Rechazada,PS1,Rechazado,MALO,0,,,,,34716,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,2,93,0,0,0,0,0,0,0,41,Hipoteca,Posgrado
2.01E+16,542,Rechazada,PS1,Rechazado,MALO,0,,,,,32489,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,3,93,0,1,11237,660,0,0,0,41,Renta,Preparatoria
2.01E+16,4333,Rechazada,PS1,Rechazado,MALO,0,,,,,25382,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,2,93,0,0,0,0,0,0,0,41,Hipoteca,Posgrado
2.01E+16,435,Rechazada,PS1,Rechazado,MALO,0,,,,,35523,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,5,93,0,0,0,0,0,0,0,41,Familiares,Preparatoria
2.01E+16,901,Rechazada,PS1,Rechazado,MALO,0,,,,,31685,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,5,93,0,0,0,0,0,0,0,41,Hipoteca,Secundaria
2.01E+16,17,Rechazada,PS1,Rechazado,MALO,0,,,,,27447,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,4,93,0,0,0,0,0,59454,0,41,Renta,Licenciatura
2.01E+16,288,En_proceso,PS1,Rechazado,MALO,0,,,,,37237,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,40004,Alto,0%,1,93,0,1,2715,510,0,64683,0,41,Propia,Licenciatura
2.01E+16,9402,Rechazada,PS1,Rechazado,MALO,0,,,,,34951,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,15000,Alto,0%,4,93,0,1,14942,1040,0,0,0,41,Familiares,Preparatoria
2.01E+16,7791,Rechazada,PS1,Rechazado,MALO,0,,,,,32279,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,0,Alto,0%,1,93,0,0,0,0,0,0,0,41,Propia,Licenciatura
2.01E+16,190,Rechazada,PS1,Rechazado,MALO,0,,,,,25528,RECIBOS DE NOMINA,#N/A,NO_CLIENTE,6000,Alto,0%,3,93,0,1,5091,320,0,0,0,41,Renta,Licenciatura
2.01E+16,19066,Rechazada,PS1,Rechazado,MALO,0,,,,,35763,PROPIEDAD ACTIVO FIJO,#N/A,NO_CLIENTE,0,Alto,0%,3,94,0,0,0,0,0,0,0,41,Propia,Posgrado
